node1,rel,node2
童梦的切片,locate_in,二净甸
河谷的黯道,locate_in,善见地
晴雨的经纬,locate_in,善见地
赤沙之槛,locate_in
千柱的花园,locate_in
蜃景祭场,locate_in
北风之狼的庙宇,locate_in
南风之狮的庙宇,locate_in
阵代屋敷,locate_in
池中宅邸,locate_in
茂知之壳,locate_in
伞盖的荫蔽,locate_in
借景之馆,locate_in
曲径通幽之处,locate_in
千门虚舟,locate_in
墟散人离之处,locate_in
华清归藏密宫,locate_in
西风之鹰的庙宇,locate_in
仲夏庭园,locate_in
铭记之谷,locate_in
山脊守望,locate_in
无妄引咎密宫,locate_in
华池岩岫,locate_in
孤云凌霄之处,locate_in
椛染之庭,locate_in
沉眠之庭,locate_in
岩中幽谷,locate_in
缘觉塔,locate_in
芬德尼尔之顶,locate_in
深入风龙废墟,locate_in
进入「黄金屋」,locate_in
「伏龙树」之底,locate_in
梦想乐土之殁,locate_in
鸣神岛·天守,locate_in
忘却之峡,locate_in
太山府,locate_in
昏识塔,locate_in
菫色之庭,locate_in
塞西莉亚苗圃,locate_in
砂流之庭,locate_in
震雷连山密宫,locate_in
有顶塔,locate_in
